OBJECTID,NETWORK_AREA,CORRIDOR_ID,CORRIDOR_DESCR,LINK_ID,LINK_DESCR,LINK_FROM,LINK_TO,LINK_FLOW,LINK_DIRN,LINK_SEQ,GEOLOCSTLength
6185413,South West,1180021,South St,64646,South St,South Tce,Marine Tce,I,,3,0.00207452842663649
6185414,South West,1180024,Marmion St,64656,Marmion St,Stirling Hwy & Marmion St,East St & Marmion St,I,,1,0.00609796659764778
6185415,South West,1180024,Marmion St,64657,Marmion St,Carrington St & Marmion St,Stirling Hwy & Marmion St,I,,2,0.0152991513181332
6185416,South West,1180025,Ord St,64667,Ord St,Stirling St & Hampton Rd,High St,I,,1,0.00181813365831871
6185417,South West,1180025,Ord St,64668,Ord St,High St,Finnerty St & James St,I,,2,0.00470485145232794
6185418,South West,1180026,Marine Tce,64678,Marine Tce,Wyola L,Mews Rd,I,,1,0.00122505350291638
6185419,South West,1180026,Marine Tce,64679,Marine Tce,Mews Rd,King William St,I,,2,0.000927776397889792
6185420,South West,1180026,Marine Tce,64689,Marine Tce,Jenkin St,Marinre Tce & Fremantle Sailing Club Access,I,,3,0.00155426856199808
6185421,South West,1180026,Marine Tce,64690,Marine Tce,Marine Tce - Start Dual,Douro Rd,I,,4,0.00293125095185367
6185422,South West,1180028,Stockdale Rd,64700,Stockdale Rd,Peel Rd & Jones St,Garling St & Stock Rd & Garling St Sthn Cway,I,,1,0.00622099839934516
